id,content,date,retweets,favorites,mentions,hashtags,,,,,,,
1.21601E+18,"95% Approval Rating in the Republican Party, a record. 53% Approval Rating overall (can we add 7 to 10 percent because of the Trump “thing?�?. Thank you!",2020/1/11 8:35,30208,178672,,,,,,,,,
1.21611E+18,"The powerful Trump Wall is replacing porous, useless and ineffective barriers in the high traffic areas requested by Border Patrol. Illegal crossing are dropping as more and more Wall is being completed! # BuildingTheWallpic.twitter.com/2kdHNSMM04",2020/1/11 15:13,22132,103071,,#BuildingTheWallpic,,,,,,,
1.21611E+18,"To the brave, long-suffering people of Iran: I've stood with you since the beginning of my Presidency, and my Administration will continue to stand with you. We are following your protests closely, and are inspired by your courage.",2020/1/11 15:46,46576,231515,,,,,,,,,
1.21611E+18,به مردم شجاع و رنج کشیده ایران: من از ابتدای دوره ریاست جمهوریم با شما ایستاده‌ا�?و دولت من همچنان با شما خواهد ایستاد. ما اعتراضات شما را از نزدیک دنبال می کنیم. شجاعت شما الهام بخش است.,2020/1/11 15:46,80299,353482,,,,,,,,,
1.21612E+18,"The government of Iran must allow human rights groups to monitor and report facts from the ground on the ongoing protests by the Iranian people. There can not be another massacre of peaceful protesters, nor an internet shutdown. The world is watching.",2020/1/11 16:11,42612,185882,,,,,,,,,
1.21613E+18,دولت ایران باید به گروه‌ها�?حقوق بشر اجازه بدهد حقیقت کنونی اعتراضات در جریان مردم ایران را نظارت کرده و گزارش بدهند. نباید شاهد کشتار دوباره ی معترضان مسالمت آمیز و یا قطع اینترنت باشیم. جهان نظاره گر این اتفاقات است.,2020/1/11 16:50,54901,255967,,,,,,,,,
1.21621E+18,pic.twitter.com/wBcidgZ2fK,2020/1/11 22:07,19527,65338,,,,,,,,,
1.21621E+18,"I hope the House and Senate Democrats, in particular watch this. It is a classic. Thank you to @ JudgeJeanine Pirro!pic.twitter.com/O8P9J0CArF",2020/1/11 22:12,26491,89598,@JudgeJeanine,,,,,,,,
1.21621E+18,Thank you Rudy! @ JudgeJeaninepic.twitter.com/hk9yuQo4Nm,2020/1/11 22:19,15300,57662,@JudgeJeaninepic,,,,,,,,
1.21635E+18,Congratulations to the Great State of Tennessee. You’ve got yourselves a fantastic football team. Big WIN last night!,2020/1/12 7:13,20119,151134,,,,,,,,,
1.21635E+18,Congratulations to @ serenawilliams on another big win. She is a great player and an even greater person. Our members in Virginia (Tennis) will never forget you!https://twitter.com/WTA/status/1216236014835920896 �?2020-01-12 07:28:34,8066,50245,@serenawilliams,,,,,,,,,
1.21636E+18,"To the leaders of Iran - DO NOT KILL YOUR PROTESTERS. Thousands have already been killed or imprisoned by you, and the World is watching. More importantly, the USA is watching. Turn your internet back on and let reporters roam free! Stop the killing of your great Iranian people!",2020/1/12 7:48,78479,329693,,,,,,,,,
1.21636E+18,"George @ GStephanopoulos, ask Crazy Nancy why she allowed Adam “Shifty�?Schiff to totally make up my conversation with the Ukrainian President & read his false words to Congress and the world, as though I said it? He got caught! Ask why hearing was most unfair & biased in history?",2020/1/12 7:58,16998,73901,@GStephanopoulos,,,,,,,,
1.21636E+18,John Kerry got caught essentially admitting that funds given ridiculously to Iran were used to fund attacks on the USA. Only a complete fool would have given that 150 Billion Dollars Plus to Iran. They then went on a Middle East Rampage! @ foxandfriends @ PeteHegseth,2020/1/12 8:06,25099,85918,"@foxandfriends,@PeteHegseth",,,,,,,,
1.21637E+18,"Michael Goodwin, New York Post: “Trump’s peace through strength philosophy is what America needs. His (John Kerry) claim bears no relation to reality. The Agreement didn’t create opportunities for America & other signatories to confront Iran’s malign activities. It overlooked....",2020/1/12 8:26,16671,69266,,,,,,,,,
1.21637E+18,"....and then helped to fund them...And zero progress was made on curbing those activities, until Trump droned Soleimani...Plainly, Trump is not a warmonger. He’s a deal maker & his record is that of someone who uses our military might as a deterrent, unleashes it with....",2020/1/12 8:26,9955,43446,,,,,,,,,
1.21637E+18,"....discretion, and only as a last resort.�?Thank you to the great Michael Goodwin. Could not have said it better myself!",2020/1/12 8:26,9901,43878,,,,,,,,,
1.21638E+18,"“Pelosi has made a mockery of Impeachment. Her Articles are so weak. But more importantly, she thought she could extort the Senate. She couldn’t.�?@ GreggJarrett @ foxandfriends The Do Nothing Democrats are really run by the Radical Left. Too bad!",2020/1/12 9:25,16124,72390,"@GreggJarrett,@foxandfriends",,,,,,,,
1.21638E+18,Great idea. This phony Impeachment Hoax should not even be allowed to proceed. Did NOTHING wrong. Just a partisan vote. Zero Republicans. Never happened before!https://twitter.com/realDonaldTrump/status/1216212972391096320 �?2020-01-12 09:30:20,15716,57056,,,,,,,,,,
1.21639E+18,"Why did Nervous Nancy allow corrupt politician Shifty Schiff to lie before Congress? He must be a Witness, and so should she!",2020/1/12 10:13,28798,141910,,,,,,,,,
1.2164E+18,"Why should I have the stigma of Impeachment attached to my name when I did NOTHING wrong? Read the Transcripts! A totally partisan Hoax, never happened before. House Republicans voted 195-0, with three Dems voting with the Republicans. Very unfair to tens of millions of voters!",2020/1/12 10:40,31319,155491,,,,,,,,,
1.2164E+18,خطاب به رهبران ايران: معترضان خود را نكشيد. هزاران تن تاكنون به دست شما كشته يا زنداني شده اند، و جهان نظاره گر است. مهمتر از ان، ايالات متحده نظاره گر است. اينترنت را دوباره وصل كنيد و به خبرنگاران اجازه دهيد ازادانه حركت كنند! كشتار مردم بزرگ ايران را متوقف كنيد!https://twitter.com/realDonaldTrump/status/1216356280933273600 �?2020-01-12 10:44:28,36573,152715,,,,,,,,,,
1.21643E+18,"House Republicans investigating origins of the Ukraine Whistleblower complaint. ICIG Michael Atkinson facing serious questions. “The Democrats know the ICIG is a major problem-didn’t release his testimony. Looks so much like everything else we’ve seen, from the Russia Hoax, to...",2020/1/12 12:29,16829,65176,,,,,,,,,
1.21643E+18,"....the Ukraine Hoax that became the Impeachment Scam. Must get the ICIG answers by Friday because this is the guy who lit the fuse. So if he wants to clear his name, prove that his office is indeed incompetent.�?@ DevinNunes @ MariaBartiromo @ FoxNews The ICIG never wanted proof!",2020/1/12 12:29,11831,44177,"@DevinNunes,@MariaBartiromo,@FoxNews",,,,,,,,
1.21643E+18,"You can’t make this up! David Kris, a highly controversial former DOJ official, was just appointed by the FISA Court to oversee reforms to the FBI’s surveillance procedures. Zero credibility. THE SWAMP! @ DevinNunes @ MariaBartiromo @ FoxNews",2020/1/12 12:41,28777,97133,"@DevinNunes,@MariaBartiromo,@FoxNews",,,,,,,,
1.21644E+18,"Wow! Crazy Bernie Sanders is surging in the polls, looking very good against his opponents in the Do Nothing Party. So what does this all mean? Stay tuned!",2020/1/12 13:02,23900,139085,,,,,,,,,
1.21644E+18,pic.twitter.com/gdDcamhY9M,2020/1/12 13:37,9178,33129,,,,,,,,,
1.21644E+18,pic.twitter.com/2iv5aiFEVu,2020/1/12 13:37,13088,44423,,,,,,,,,
1.21644E+18,pic.twitter.com/5YjLSVEXts,2020/1/12 13:38,9252,30423,,,,,,,,,
1.21645E+18,"Many believe that by the Senate giving credence to a trial based on the no evidence, no crime, read the transcripts, “no pressure�?Impeachment Hoax, rather than an outright dismissal, it gives the partisan Democrat Witch Hunt credibility that it otherwise does not have. I agree!",2020/1/12 13:55,27436,126101,,,,,,,,,
