id,timestamp,tweet,replies,retweets,quotes,likes,,,
1.21726E+18,2020/1/15 1:45,"I’m about to step on stage for tonight’s #DemDebate in Iowa. Make sure to follow along here and on @TeamJoe for updates throughout the night, and tune in to @CNN at 9 PM ET to watch live!",354,275,37,1551,,,
1.21727E+18,2020/1/15 2:10,In 2009 President Obama asked me to oversee our effort to bring home our combat troops. I’ll put my record and my judgment up against anyone in terms of who is the right person to be Commander in Chief. #DemDebate,197,313,28,1291,,,
1.21727E+18,2020/1/15 2:15,"When Trump discarded the Iran nuclear deal he promised it would produce a “better�?one and curb Iranian aggression—the reverse happened. Iran has restarted its nuclear program and become more provocative. I’ll return to smart, disciplined diplomacy to address the threats we face.",92,284,14,1040,,,
1.21727E+18,2020/1/15 2:17,No one should shed a tear for Qassem Soleimani. But Trump’s reckless escalation and thoughtless withdrawal from the Iran nuclear deal has made America less safe. We need a return to diplomacy and a steady hand at the wheel to navigate an increasingly dangerous world. #DemDebate,217,594,31,2505,,,
1.21727E+18,2020/1/15 2:20,There’s a big difference between sending tens of thousands of American combat troops to the Middle East indefinitely �?which I oppose and will end �?and using small teams of special forces to support local forces doing the fighting to advance our common security. #DemDebate,119,252,25,922,,,
1.21727E+18,2020/1/15 2:22,No president can take our country to war without the informed consent of the American people. #DemDebate,233,407,28,2164,,,
1.21727E+18,2020/1/15 2:35,"I wouldn’t meet with Kim Jong Un without pre-conditions. By meeting with him, Donald Trump gave Kim Jong Un what he was looking for: legitimacy. I will work closely with our allies and hold China accountable for its lack of pressure on the Kim regime’s bad behavior. #DemDebate",333,420,47,2106,,,
1.21728E+18,2020/1/15 2:42,"If we don’t write the global rules of the road for trade, cyber, climate change, and so much more, they may be written by China or other nations that don’t share our values. #DemDebate",96,255,17,996,,,
1.21728E+18,2020/1/15 3:00,"I’ve been very clear about what my health care plan would do: Build on Obamacare by giving Americans more choice, reducing health care costs, and making our health care system easier to navigate. #DemDebate",207,388,32,1659,,,
1.21728E+18,2020/1/15 3:04,Medicare should be able to negotiate prices with drug companies. #DemDebate,92,232,18,1055,,,
1.21728E+18,2020/1/15 3:16,"Under the Biden administration, labor and environmental groups will be at the table to negotiate trade agreements. Period. https://t.co/gKXwU2SpVu",77,260,17,988,,,
1.21729E+18,2020/1/15 3:23,"Make no mistake, the situation with Iran is a crisis of Donald Trump’s own making. He claimed walking away from the Iran deal would deter Iranian aggression and result in a better deal. He failed on both accounts. https://t.co/S2nsclIN1B",221,455,20,1660,,,
1.21729E+18,2020/1/15 3:34,Child care is personal to me: I was a single parent as a young senator. I commuted home to Delaware every night to tuck my kids into bed. Child care should be affordable for every parent. #DemDebate,234,567,34,3118,,,
1.21729E+18,2020/1/15 3:38,"Republicans have savaged my only surviving son. They’ve spread lies about me that networks won’t even carry. It doesn’t matter if they go after me.

As President of the United States, I have to be able to not only fight �?I have to heal. And that’s what I’ll do if I’m elected.",7181,6322,1192,39378,,,
1.2173E+18,2020/1/15 4:03,"Look, I’ve been the object of Donald Trump’s affection now more than anyone else on this stage. I’ve taken all the hits he’s delivered, and I’m only getting stronger in the polls. #DemDebate",512,1439,73,8396,,,
1.2173E+18,2020/1/15 4:14,"With just 20 days until the Iowa Caucus, we need your help to fuel our campaign. Every donation—big or small—goes a long way in this homestretch.

If you liked what you heard at tonight's #DemDebate, please chip in what you can to keep our momentum going: https://t.co/oHhLJeow4L",125,197,9,573,,,
1.2173E+18,2020/1/15 4:16,"This is the United States of America. There’s not a single thing beyond our capacity, if we do it together. Let’s go do it. #DemDebate",499,696,90,3936,,,
1.21732E+18,2020/1/15 5:45,"I just got off the debate stage in Iowa, where we're in the homestretch before the caucus. With just 19 days left, every dollar counts.

Chip in if you're ready to take back this country and make Donald Trump a one-term president: https://t.co/dZBws0E8HE https://t.co/DJDvE02g5l",581,485,51,2114,,,
1.21749E+18,2020/1/15 17:06,"Historically Black Colleges and Universities have always been the heartbeat of our country’s fight for justice. That’s why I’ll invest $70 billion in HBCUs and Minority-Serving Institutions.

When HBCUs rise, we all rise—join HBCU Students for Biden today: https://t.co/oZQOh9KPTt https://t.co/HqlwjwgeTU",296,780,152,2501,,,
1.21752E+18,2020/1/15 18:40,"Cornell is right �?everything is at stake this November. We have to get Donald Trump out of the White House and unite this country. Because if we come together and act as one America, there is nothing that we can't accomplish. https://t.co/RkNCr4M0ag",351,766,44,2904,,,
1.21755E+18,2020/1/15 20:40,"I'm ready to debate Donald Trump on the economy. The American people are getting clobbered, and the wealthy are the only ones doing well. We have to rebuild the middle class, and this time, make sure everyone comes along. https://t.co/C36Kym6X8J",860,975,119,4054,,,
1.21757E+18,2020/1/15 22:15,"I’m proud that today, our campaign is launching HBCU Students for Biden. This program will be dedicated to helping HBCU students throughout the country learn how to organize for our campaign. 

Sign up here: https://t.co/uDMyQf9hHx https://t.co/blPhAsMK1m",106,185,13,632,,,
1.21758E+18,2020/1/15 23:05,"This seems like a great reason to rejoin the Paris Agreement, @realDonaldTrump. https://t.co/HHI4KUokcF",343,1595,37,8544,,,
1.2176E+18,2020/1/16 0:30,"My thoughts and prayers are with Mustafa Kassem's family at this difficult time. His death, after six years in an Egyptian jail, is an outrage. Americans unjustly detained anywhere in the world deserve our government’s full support and relentless efforts to secure their release. https://t.co/aWpCb3VJHO",172,574,24,2141,,,
